ts,wtid,var001,var002,var003,var004,var005,var006,var007,var008,var009,var010,var011,var012,var013,var014,var015,var016,var017,var018,var019,var020,var021,var022,var023,var024,var025,var026,var027,var028,var029,var030,var031,var032,var033,var034,var035,var036,var037,var038,var039,var040,var041,var042,var043,var044,var045,var046,var047,var048,var049,var050,var051,var052,var053,var054,var055,var056,var057,var058,var059,var060,var061,var062,var063,var064,var065,var066,var067,var068
2018-07-01 00:00:00.449,1,405.37,29.39,53.9,218.0,405.54,33.09,33.09,0.0,59.04,-0.3,33.09,31.14,0.04,33.09,180.27,0,59.13,34.9,-0.79,0,29.29,32.9,0.02,54.5,0.0,0.0,6.12,27.44,32.9,29.1,0.95,0.0,43.29,362.45,54.5,35.59,34.79,404.51,0.02,55.2,0.02,222.0,294.0,29.57,55.09,226.39,0,29.61,-0.01,1.0,31.0,55.5,1,-16.0,31.1,-481.87,31.0,-0.04,-0.79,50.02,175.93,35.09,59.15,29.55,-0.76,0,31.6,10.47
2018-07-01 00:00:07.819,1,405.02,29.39,53.9,225.19,405.02,33.09,33.09,0.0,59.04,-0.31,33.09,31.14,0.04,33.09,182.68,0,59.15,34.9,-0.79,0,29.29,32.9,0.03,54.59,0.0,0.0,5.63,27.34,32.9,29.1,0.23,0.0,43.2,253.19,54.4,35.59,34.79,404.51,0.02,55.2,-0.02,230.0,300.0,29.59,55.09,232.8,0,29.6,-0.01,1.0,31.0,55.4,1,-16.0,31.1,-483.1,31.0,-0.04,-0.79,50.02,178.73,35.09,59.18,29.54,-0.76,0,31.6,10.66
2018-07-01 00:00:15.185,1,404.51,29.39,53.59,224.0,405.54,33.09,33.09,0.0,59.04,-0.3,33.09,31.14,0.04,33.09,180.27,0,59.13,34.9,-0.79,0,29.29,32.9,0.0,54.59,0.0,0.0,5.87,27.34,32.9,29.1,0.45,0.0,43.2,350.1,54.5,35.59,34.79,404.68,0.01,54.79,0.02,227.19,300.0,29.58,55.29,230.39,0,29.62,-0.01,1.0,31.0,55.9,1,-15.0,31.1,-481.87,31.0,-0.03,-0.79,50.02,179.72,35.09,59.17,29.54,-0.76,0,31.6,10.62
2018-07-01 00:00:22.551,1,405.2,29.39,54.0,221.19,405.02,33.09,33.09,0.0,59.03,-0.3,33.09,31.14,0.04,33.09,185.32,0,59.12,34.9,-0.79,0,29.29,32.9,0.01,54.59,0.0,0.0,5.51,27.34,32.9,29.1,0.42,0.0,43.2,267.73,54.5,35.59,34.79,404.85,0.02,55.0,0.02,224.0,296.0,29.58,55.29,229.6,0,29.6,-0.01,1.0,31.0,56.0,1,-13.0,31.1,-481.87,31.0,-0.04,-0.79,50.0,181.03,35.09,59.17,29.54,-0.76,0,31.6,10.58
2018-07-01 00:00:29.918,1,405.2,29.39,53.29,207.6,405.02,33.09,33.09,0.0,59.04,-0.3,33.09,31.14,0.04,33.09,189.94,0,59.11,34.9,-0.79,0,29.29,32.9,0.01,54.5,0.0,0.0,5.28,27.34,32.9,29.1,0.12,0.0,43.29,257.5,54.5,35.59,34.79,404.51,0.04,55.0,-0.02,211.6,276.0,29.6,55.2,214.0,0,29.63,-0.01,1.0,31.0,55.79,1,-15.0,31.1,-483.1,31.0,-0.04,-0.79,50.0,179.54,35.09,59.19,29.54,-0.76,0,31.6,10.29
2018-07-01 00:00:37.284,1,404.68,29.39,53.4,195.19,404.85,33.09,33.09,0.0,59.04,-0.3,33.09,31.14,0.04,33.09,175.21,0,59.1,34.9,-0.79,0,29.29,32.9,0.03,54.5,0.0,0.0,5.85,27.34,32.9,29.1,0.88,0.0,43.29,332.0,54.5,35.59,34.79,403.99,0.04,55.0,0.02,200.0,263.0,29.56,55.29,203.6,0,29.62,-0.01,1.0,31.0,55.79,1,-15.0,31.1,-481.87,31.0,-0.03,-0.79,50.0,184.99,35.09,59.15,29.54,-0.76,0,31.6,10.12
2018-07-01 00:00:44.649,1,404.68,29.39,53.9,181.6,404.85,33.09,33.09,0.0,59.05,-0.3,33.09,31.14,0.04,33.09,160.27,0,59.11,34.9,-0.79,0,29.29,32.9,0.01,54.5,0.0,0.0,5.19,27.34,32.9,29.1,0.72,0.0,43.2,221.54,54.29,35.59,34.79,404.16,0.03,55.29,0.02,186.39,251.0,29.56,55.2,191.19,0,29.62,-0.02,1.0,31.0,55.5,1,-15.0,31.1,-481.87,31.0,-0.04,-0.79,49.97,173.18,35.09,59.17,29.54,-0.76,0,31.6,9.97
2018-07-01 00:00:52.015,1,404.33,29.39,53.29,179.6,404.68,33.09,33.09,0.0,59.04,-0.3,33.09,31.14,0.04,33.09,170.16,0,59.11,34.9,-0.79,0,29.29,32.9,0.0,54.59,0.0,0.0,4.88,27.34,32.9,29.1,-0.82,0.0,43.2,197.65,54.5,35.59,34.79,404.33,0.03,55.29,-0.07,181.6,248.0,29.57,55.09,186.0,0,29.61,-0.01,1.0,31.0,55.59,1,-16.0,31.1,-484.33,31.0,-0.03,-0.79,49.95,170.17,35.09,59.19,29.54,-0.76,0,31.6,9.89
2018-07-01 00:00:59.384,1,404.16,29.39,53.9,159.6,405.02,33.09,33.09,0.0,59.04,-0.3,33.09,31.14,0.04,33.09,182.68,0,59.12,34.9,-0.79,0,29.29,32.9,0.01,54.5,0.0,0.0,4.99,27.34,32.9,29.1,-2.24,0.0,43.2,208.44,54.4,35.59,34.79,404.33,0.04,55.0,0.02,161.6,222.0,29.57,55.2,166.0,0,29.6,-0.01,1.0,31.0,55.79,1,-13.0,31.1,-481.87,31.0,-0.04,-0.79,49.95,171.55,35.09,59.17,29.54,-0.76,0,31.7,9.89
2018-07-01 00:01:06.747,1,404.68,29.39,53.29,166.0,404.68,33.2,33.09,0.0,59.04,-0.3,33.2,31.14,0.04,33.09,176.53,0,59.13,34.9,-0.79,0,29.29,32.9,0.0,54.5,0.0,0.0,5.21,27.34,32.9,29.1,-2.93,0.0,43.2,221.54,54.5,35.59,34.79,403.64,0.0,55.29,0.02,171.19,232.0,29.57,55.09,172.39,0,29.63,0.0,1.0,31.0,55.79,1,-13.0,31.1,-481.87,31.0,-0.03,-0.79,49.95,176.84,35.09,59.15,29.54,-0.76,0,31.7,9.93
